song,artist,uri
ROCKSTAR 101,Rihanna,spotify:track:0V1QctBNCIGMeJ7oKa4mb7
Russian Roulette,Rihanna,spotify:track:2e2XwMMNEdERsHLpOg7aEM
Best Thing I Never Had,Beyoncé,spotify:track:20BubhRYSjCIchDA4O9wNK
Crazy In Love (feat. Jay-Z),Beyoncé,spotify:track:0TwBtDAWpkpM3srywFVOV5
Baby Don't Lie,Gwen Stefani,spotify:track:26aVIjuka4gVm6EHy0NJrj
Automatic,Nicki Minaj,spotify:track:4yumVfpFGiwuTMFgWUi6f3
Who Says,Selena Gomez & The Scene,spotify:track:5kWw3W3exXghYGU9Jg64GH
Remember December,Demi Lovato,spotify:track:1SSVaHiGFdSwoLEw3PK77G
Who Owns My Heart,Miley Cyrus,spotify:track:4SktAKdkIAol1CMM6ypPlh
Better Than I Know Myself,Adam Lambert,spotify:track:3Fsjt1h1p2o86pC2lQopJc
Love Me,Justin Bieber,spotify:track:1iCg2UMRHem15MWK1GqCdP
Rain Over Me (feat. Marc Anthony),Pitbull,spotify:track:2cZrrQMjB63c0iIugYH9zS
Me And My Broken Heart,Rixton,spotify:track:2rJojRundKuKFgbvmCAYva
Magic,Coldplay,spotify:track:27jdUE1EYDSXZqhjuNxLem
The Way,Ariana Grande,spotify:track:0S4RKPbRDA72tvKwVdXQqe
If We Ever Meet Again,Timbaland,spotify:track:0PRqWiyOFMHVee81mr1bp6
Save The World - Extended Mix,Swedish House Mafia,spotify:track:4xTIknzHtjrqRQ1hlL2T8W
This Is What You Came For,Calvin Harris,spotify:track:0azC730Exh71aQlOt9Zj3y
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,spotify:track:0qOnSQQF0yzuPWsXrQ9paz
Starships,Nicki Minaj,spotify:track:2EBCVPNAG46nbgs6jXPGvv
Die Young,Kesha,spotify:track:6mnjcTmK8TewHfyOp3fC9C
Airplanes (feat. Hayley Williams of Paramore),B.o.B,spotify:track:6lV2MSQmRIkycDScNtrBXO
Animals,Maroon 5,spotify:track:7uolkTLavH97itenLjNmx9
Hangover,Taio Cruz,spotify:track:2tftivjRsvKs0jFH9h3Ti8
Demons,Imagine Dragons,spotify:track:2Oehrcv4Kov0SuIgWyQY9e
Replay,Iyaz,spotify:track:4E5P1XyAFtrjpiIxkydly4
Wild Ones (feat. Sia),Flo Rida,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3
Payphone,Maroon 5,spotify:track:1XGmzt0PVuFgQYYnV2It7A
Am I Wrong,Nico & Vinz,spotify:track:1fidCEsYlaVE3pHwKCvpFZ
