danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.371,0.862,2,-4.729,1,0.0529,0.000871,0.0,0.216,0.329,158.972,audio_features,7IELBBZwEB8GXzSaMI4Cq5,spotify:track:7IELBBZwEB8GXzSaMI4Cq5,https://api.spotify.com/v1/tracks/7IELBBZwEB8GXzSaMI4Cq5,https://api.spotify.com/v1/audio-analysis/7IELBBZwEB8GXzSaMI4Cq5,173613,4
0.469,0.922,7,-3.574,1,0.062,0.000273,2.15e-05,0.351,0.287,136.994,audio_features,0NdrF1zWcuK3Truu6ZNcJD,spotify:track:0NdrF1zWcuK3Truu6ZNcJD,https://api.spotify.com/v1/tracks/0NdrF1zWcuK3Truu6ZNcJD,https://api.spotify.com/v1/audio-analysis/0NdrF1zWcuK3Truu6ZNcJD,174440,4
0.481,0.936,1,-4.164,1,0.0587,0.00323,0.000107,0.186,0.426,148.174,audio_features,11SI0OkmNFak8xyj3coHPN,spotify:track:11SI0OkmNFak8xyj3coHPN,https://api.spotify.com/v1/tracks/11SI0OkmNFak8xyj3coHPN,https://api.spotify.com/v1/audio-analysis/11SI0OkmNFak8xyj3coHPN,199933,4
0.569,0.951,2,-4.694,1,0.0661,0.023,0.0,0.38,0.0777,127.065,audio_features,1pmjWLQU0wL3OTaOcq1li7,spotify:track:1pmjWLQU0wL3OTaOcq1li7,https://api.spotify.com/v1/tracks/1pmjWLQU0wL3OTaOcq1li7,https://api.spotify.com/v1/audio-analysis/1pmjWLQU0wL3OTaOcq1li7,166880,4
0.507,0.932,2,-4.823,1,0.056,0.00765,0.000235,0.364,0.212,112.031,audio_features,5qGPIranSo4ml1ZO85leRt,spotify:track:5qGPIranSo4ml1ZO85leRt,https://api.spotify.com/v1/tracks/5qGPIranSo4ml1ZO85leRt,https://api.spotify.com/v1/audio-analysis/5qGPIranSo4ml1ZO85leRt,226520,3
0.407,0.849,8,-5.406,1,0.0523,0.00455,0.0,0.723,0.476,150.027,audio_features,4o9DX5sNIPi31vlFGu325L,spotify:track:4o9DX5sNIPi31vlFGu325L,https://api.spotify.com/v1/tracks/4o9DX5sNIPi31vlFGu325L,https://api.spotify.com/v1/audio-analysis/4o9DX5sNIPi31vlFGu325L,194960,3
0.413,0.962,7,-4.91,1,0.0671,0.00298,0.00868,0.227,0.183,144.923,audio_features,71xqxs3oh9W0yyaru3UPWt,spotify:track:71xqxs3oh9W0yyaru3UPWt,https://api.spotify.com/v1/tracks/71xqxs3oh9W0yyaru3UPWt,https://api.spotify.com/v1/audio-analysis/71xqxs3oh9W0yyaru3UPWt,249120,4
0.344,0.761,5,-4.393,1,0.0316,0.0142,0.0,0.3,0.161,172.092,audio_features,4nvHfE47d8HgRcdZxuF4Bp,spotify:track:4nvHfE47d8HgRcdZxuF4Bp,https://api.spotify.com/v1/tracks/4nvHfE47d8HgRcdZxuF4Bp,https://api.spotify.com/v1/audio-analysis/4nvHfE47d8HgRcdZxuF4Bp,186840,4
0.493,0.787,2,-5.357,1,0.0434,0.0621,0.0,0.0935,0.281,137.034,audio_features,3VGmHcjlwXaa5y82Rum3Pn,spotify:track:3VGmHcjlwXaa5y82Rum3Pn,https://api.spotify.com/v1/tracks/3VGmHcjlwXaa5y82Rum3Pn,https://api.spotify.com/v1/audio-analysis/3VGmHcjlwXaa5y82Rum3Pn,204107,4
0.47,0.914,6,-4.804,0,0.0623,0.0239,0.0,0.315,0.336,146.135,audio_features,0jDDFjnyyK3etasmjUVsjZ,spotify:track:0jDDFjnyyK3etasmjUVsjZ,https://api.spotify.com/v1/tracks/0jDDFjnyyK3etasmjUVsjZ,https://api.spotify.com/v1/audio-analysis/0jDDFjnyyK3etasmjUVsjZ,182853,3
